date,product,category,region,unit_price,quantity,revenue
2025-07-01,SKU-0039,Toys,East,93.39,2,186.77
2025-07-01,SKU-0043,Apparel,West,27.89,3,83.68
2025-07-01,SKU-0049,Toys,South,159.35,3,478.06
2025-07-01,SKU-0007,Electronics,East,235.74,1,235.74
2025-07-01,SKU-0047,Home,North,166.32,3,498.97
2025-07-01,SKU-0023,Apparel,West,115.37,4,461.48
2025-07-01,SKU-0004,Toys,South,130.02,1,130.02
2025-07-01,SKU-0038,Apparel,West,194.43,2,388.87
2025-07-01,SKU-0045,Grocery,North,10.2,2,20.4
2025-07-01,SKU-0024,Toys,East,39.32,3,117.95
2025-07-01,SKU-0035,Grocery,South,38.8,2,77.6
2025-07-01,SKU-0017,Home,North,99.22,4,396.86
2025-07-01,SKU-0010,Grocery,East,20.6,2,41.2
2025-07-01,SKU-0012,Home,East,93.06,1,93.06
2025-07-01,SKU-0042,Home,West,69.35,4,277.4
2025-07-01,SKU-0042,Home,East,83.62,4,334.48
2025-07-01,SKU-0015,Grocery,North,8.17,4,32.68
2025-07-01,SKU-0010,Grocery,East,32.12,4,128.46
2025-07-01,SKU-0034,Toys,East,158.34,3,475.02
2025-07-01,SKU-0023,Apparel,East,36.56,1,36.56
2025-07-01,SKU-0006,Electronics,West,277.86,4,1111.44
2025-07-01,SKU-0029,Toys,East,130.6,3,391.79
2025-07-01,SKU-0028,Apparel,South,67.75,3,203.25
2025-07-01,SKU-0002,Home,West,50.77,2,101.54
2025-07-01,SKU-0021,Electronics,South,178.25,4,713.02
2025-07-01,SKU-0003,Apparel,East,65.78,2,131.57
2025-07-01,SKU-0034,Toys,South,158.94,4,635.76
2025-07-01,SKU-0034,Toys,North,164.66,2,329.33
2025-07-01,SKU-0009,Toys,South,27.11,4,108.44
2025-07-01,SKU-0037,Home,North,40.64,4,162.57
2025-07-01,SKU-0026,Electronics,South,372.45,2,744.91
2025-07-01,SKU-0023,Apparel,South,67.29,3,201.86
